code,name,mapped_to,type,resolution,climate,ozone,radiation,photo_ox,pm,ht_nc,ht_c,acid,e_fw,e_m,e_t,ecotox,land,water,energy,mater,cc_bio,cc_fos,cc_luc
26029,"Poisson pané, surgelé, cru","Fish, breaded, frozen, raw",,mapped,-0.0439,0.0663,0.1833,-0.1923,-0.1829,1.2697,-1.3307,-0.1217,0.3518,-0.054,-0.0214,14.275,-0.3687,-20.5577,0.5826,-0.0049,0.4768,0.022,-0.4655
26030,"Poisson pané, frit","Fish, breaded, fried",,mapped,0.0345,0.1681,0.2676,0.226,0.2092,1.0458,-0.9981,-0.1118,-0.1088,0.0242,0.0359,13.9807,-0.4215,3.4314,1.0908,-0.0165,1.4279,0.0028,-0.4795
26031,"Raie, rôtie/cuite au four","Ray, roasted/baked",,mapped,0.0011,0.0647,-0.0066,-0.0347,0.0689,0.8371,-1.6745,-0.0351,-0.0803,0.0316,-0.0694,15.2945,0.0669,-15.3734,0.9344,-0.0524,-0.2165,-0.2251,0.15
26033,"Roussette ou petite roussette ou saumonette, cuite","Nursehound or lesser spotted dogfish, cooked",,mapped,0.0011,0.0647,-0.0066,-0.0347,0.0689,0.8371,-1.6745,-0.0351,-0.0803,0.0316,-0.0694,15.2945,0.0669,-15.3734,0.9344,-0.0524,-0.2165,-0.2251,0.15
26034,"Sardine, à l'huile, appertisée, égouttée (version ""logiciel"" - avec erreur sur l'emballage)","European pilchard or sardine, in oil, canned, drained (software version - with packaging error)",,mapped,0.0667,-0.1232,-0.1879,0.0577,-0.1256,0.7647,-2.9354,-0.0422,-0.0183,-0.0787,0.0413,12.3454,0.1869,3.5649,1.3291,0.0345,-0.0219,0.0363,0.0179
26035,"Sardine, sauce tomate, appertisée, égouttée","European pilchard or sardine, in tomato sauce, canned, drained",,mapped,0.0667,-0.1232,-0.1879,0.0577,-0.1256,0.7647,-2.9354,-0.0422,-0.0183,-0.0787,0.0413,12.3454,0.1869,3.5649,1.3291,0.0345,-0.0219,0.0363,0.0179
26036,"Saumon, cru, élevage","Salmon, raw, farmed",,mapped,-0.5249,-0.1413,-0.0318,-0.0716,-1.3864,3.3332,7.335,0.1082,-0.0681,-0.1641,0.0844,1.0342,-0.9714,-22.7879,0.6689,-0.0237,0.8916,-0.6027,-0.2299
26037,"Saumon fumé   (version ""logiciel"" - avec erreur sur l'emballage)","Salmon, smoked (software version - with packaging error)",,mapped,-0.6828,0.0147,0.085,-0.1428,-1.4378,3.5005,6.6338,0.0406,-0.1828,-0.0831,-0.1733,1.1874,-0.8944,-29.0002,0.494,-0.102,0.5571,-0.6973,-0.3415
26038,"Saumon, cuit à la vapeur","Salmon, steamed",,mapped,-0.5411,-0.1022,0.1277,0.0636,-1.2487,3.2268,6.8206,0.1844,-0.3812,-0.1753,-0.0827,1.7348,-0.8957,-29.7307,0.5792,-0.0359,0.4942,-0.6796,-0.2299
26039,"Thon, au naturel, appertisé, égoutté","Tuna, plain, canned, drained",,mapped,-0.0704,0.2381,-0.1775,0.0462,-0.1685,1.9656,-0.9368,7.75,-0.0611,-0.046,3.1728,13.8658,0.0732,3.3784,0.9187,-0.0623,-0.061,-0.068,0.0352
26040,"Sardine, à l'huile d'olive, appertisée, égouttée","European pilchard or sardine, in olive oil, canned, drained",,mapped,-0.1087,0.1152,-0.1752,-0.0375,-0.1051,0.9495,-3.0359,-0.0138,-0.1529,0.3269,0.3653,16.9124,0.0802,5.0553,1.1834,-0.2072,-0.066,0.0045,-0.141
26041,"Thon, rôti/cuit au four","Tuna, roasted/baked",,mapped,0.0192,0.039,0.0212,-0.3454,-0.0235,0.9939,-2.9377,-0.2272,-0.092,0.1407,0.0811,15.987,0.0067,-15.9667,0.7633,0.1297,-0.0549,-0.0364,0.1157
26042,"Turbot sauvage, cru","Turbot, raw, wild",,mapped,-0.2924,-0.0522,0.0394,-0.1127,0.1173,0.8154,-1.5335,0.1117,-0.1128,-0.0416,-0.0543,15.2735,-0.2402,6.3364,0.4474,0.0042,-0.0511,-0.4109,-0.0042
26043,"Cabillaud, cru","Cod, raw",,mapped,0.3818,-0.1012,0.052,-0.0231,-0.0739,0.6773,-1.4848,-0.0853,0.0682,0.062,0.061,15.1923,0.0167,4.8803,0.8217,-0.0173,0.0442,0.2663,0.0239
26044,"Merlu, cru","European hake, raw",,mapped,0.0065,-0.2127,-0.0248,-0.3019,0.2952,0.8185,-2.0235,0.2719,0.0884,0.086,0.0901,15.467,0.2343,7.1827,0.7678,0.0401,0.0112,0.0505,0.1745
26046,"Surimi, bâtonnets, tranche ou râpé saveur crabe","Surimi, on sticks, in slices or grated, crab flavour",,mapped,0.0229,0.1625,-0.0664,-0.0447,-0.2114,0.7978,-1.8751,0.3607,-0.0651,0.0729,0.1506,12.6572,-0.0681,4.9921,0.9896,-0.0244,0.0814,-0.0364,-0.0613
26047,"Lieu noir, surgelé, cru","Saithe, frozen, raw",,mapped,-0.0563,-0.1066,-0.0184,-0.1729,0.2078,1.1203,-2.4862,-0.0496,0.2962,0.0957,0.0241,15.9236,0.2169,-24.1997,0.7874,0.0519,-0.0442,0.0417,-0.1349
26048,"Merlu, filet, surgelé, cru","Hake, fillet, frozen, raw",,mapped,-0.0538,0.0678,0.084,-0.1998,-0.0651,0.9437,-2.3686,0.0564,-0.2215,-0.0074,0.0931,16.1892,-0.2781,-24.8305,0.8994,-0.0282,0.0086,0.0578,0.0578
26051,"Maquereau, cru","Mackerel, raw",,mapped,0.1141,0.2795,-0.1844,0.1327,0.1023,0.8594,-5.0231,0.0093,-0.1247,0.1225,-0.1401,14.8715,-0.0573,13.3601,0.7713,-0.0631,0.0935,-0.1742,-0.0399
26052,"Raie, crue","Ray, raw",,mapped,0.3818,-0.1012,0.052,-0.0231,-0.0739,0.6773,-1.4848,-0.0853,0.0682,0.062,0.061,15.1923,0.0167,4.8803,0.8217,-0.0173,0.0442,0.2663,0.0239
26053,"Thon, cru","Tuna, raw",,mapped,-0.0199,-0.1431,0.1612,0.0232,-0.0164,0.6919,-2.3837,-0.1419,0.0623,0.0567,0.0093,15.7509,0.0459,14.1717,0.7743,0.0161,-0.0817,0.0681,-0.1969
26054,"Poisson en sauce, surgelé","Fish, in sauce, frozen",,mapped,0.0334,-0.1102,0.3884,-0.1936,-0.0049,0.8185,-1.1403,0.0053,-0.0983,-0.0781,0.0245,14.0067,-0.0431,-12.3758,0.9725,-0.1439,0.1005,0.0186,0.0118
26055,"Plie commune, crue","European plaice, raw",,mapped,0.3818,-0.1012,0.052,-0.0231,-0.0739,0.6773,-1.4848,-0.0853,0.0682,0.062,0.061,15.1923,0.0167,4.8803,0.8217,-0.0173,0.0442,0.2663,0.0239
26057,"Limande, crue","Common dab, raw",,mapped,0.3818,-0.1012,0.052,-0.0231,-0.0739,0.6773,-1.4848,-0.0853,0.0682,0.062,0.061,15.1923,0.0167,4.8803,0.8217,-0.0173,0.0442,0.2663,0.0239
26058,"Sole, crue","Common sole, raw",,mapped,-0.0621,-0.1809,0.1126,-0.0071,0.0268,0.3205,-1.8233,-0.0097,0.0761,0.0801,-0.1037,13.5407,0.1167,11.8121,1.2602,0.2539,0.0903,0.0595,-0.186
26059,"Sole, cuite à la vapeur","Common sole, steamed",,mapped,-0.0068,-0.1391,0.0425,0.2694,0.0323,0.1945,-2.3071,0.1138,0.0386,-0.0443,-0.0054,13.7235,0.2268,-3.4711,0.6203,0.268,0.0115,-0.0298,0.0242
26060,"Sole, rôtie/cuite au four","Common sole, roasted/baked",,mapped,-0.0218,-0.1654,0.172,0.0081,0.1689,0.0243,-2.2452,-0.0843,-0.0853,0.0582,0.1151,13.6566,-0.2695,-2.705,1.0806,-0.0229,-0.1117,0.0563,-0.0054
26061,"Sole, bouillie/cuite à l'eau","Common sole, boiled/cooked in water",,mapped,-0.0068,-0.1391,0.0425,0.2694,0.0323,0.1945,-2.3071,0.1138,0.0386,-0.0443,-0.0054,13.7235,0.2268,-3.4711,0.6203,0.268,0.0115,-0.0298,0.0242
26062,"Sole, frite","Common sole, fried",,mapped,0.0457,0.1188,0.1079,0.2352,-0.183,0.1992,-2.3043,-0.0204,-0.0325,-0.0409,-0.0057,13.5814,-0.2119,-2.6076,0.7399,0.2187,-0.1351,-0.0175,-0.1387
26063,"Rascasse, crue","Spiny scorpionfish, raw",,mapped,0.3818,-0.1012,0.052,-0.0231,-0.0739,0.6773,-1.4848,-0.0853,0.0682,0.062,0.061,15.1923,0.0167,4.8803,0.8217,-0.0173,0.0442,0.2663,0.0239
26064,"Thon albacore ou thon jaune, cru","Yellowfin tuna, raw",,mapped,-0.0199,-0.1431,0.1612,0.0232,-0.0164,0.6919,-2.3837,-0.1419,0.0623,0.0567,0.0093,15.7509,0.0459,14.1717,0.7743,0.0161,-0.0817,0.0681,-0.1969
26065,"Sardine, crue","European pilchard or sardine, raw",,mapped,-0.1495,-0.1206,-0.0166,0.187,0.0421,0.899,-5.8362,-0.0589,0.2259,0.0431,-0.0115,15.5019,0.0312,12.9183,0.796,0.0168,-0.0045,-0.0148,-0.0914
26068,"Thon listao ou Bonite à ventre rayé, cru","Skipjack tuna, raw",,mapped,0.104,-0.1729,0.1678,-0.0124,0.055,0.7961,-2.409,0.2277,0.0219,-0.0836,0.1683,15.4964,0.056,14.068,0.7554,-0.0006,-0.0001,-0.0089,0.2192
26072,"Bar commun ou loup, cru, sans précision","European bass, raw",,mapped,-4.7827,0.1611,0.0277,0.0381,-0.3259,-0.0008,27.6176,0.0402,-0.7018,-0.1124,-0.1294,3.913,-4.8946,-83.1926,-0.7168,-0.0415,1.8936,-5.496,-0.8111
26073,"Raie, cuite au court-bouillon","Ray, cooked in an aromatic stock",,mapped,0.0011,0.0647,-0.0066,-0.0347,0.0689,0.8371,-1.6745,-0.0351,-0.0803,0.0316,-0.0694,15.2945,0.0669,-15.3734,0.9344,-0.0524,-0.2165,-0.2251,0.15
